DSC00874.JPG,1.252835,103.6808,14.57,0.39,0.38,144.15
DSC00875.JPG,1.252835,103.6808,14.55,0.25,0.29,144.17
DSC00877.JPG,1.252835,103.6808,14.41,0.03,0.2,144.43
DSC00878.JPG,1.252835,103.6808,14.41,-0.11,0.24,144.64
DSC00879.JPG,1.252835,103.6808,14.37,-0.1,0.29,144.83
DSC00880.JPG,1.252835,103.6808,14.29,1.51,0.18,141
DSC00881.JPG,1.252834,103.6808,14.8,-0.54,-0.9,138.64
DSC00882.JPG,1.252835,103.6808,16.15,1.18,1.61,141.32
DSC00883.JPG,1.252835,103.6808,18.22,1.8,0.65,142.09
DSC00884.JPG,1.252833,103.6808,22.91,1.34,2.4,142.53
DSC00885.JPG,1.252833,103.6808,25.13,2.25,2.74,143.15
DSC00886.JPG,1.252835,103.6808,27.62,1.84,0.46,143.07
DSC00887.JPG,1.252835,103.6808,29.96,1.89,1.98,142.51
DSC00888.JPG,1.252835,103.6808,34.65,1.35,1.88,142.83
DSC00889.JPG,1.252835,103.6808,37.07,1.89,4.48,143.49
DSC00890.JPG,1.252836,103.6808,39.47,2.74,3.32,143.8
DSC00891.JPG,1.252838,103.6808,41.86,2.09,1.49,143.7
DSC00892.JPG,1.252837,103.6808,46.06,1.89,2.84,144.2
DSC00893.JPG,1.252837,103.6808,48.21,2.41,2.32,143.99
DSC00894.JPG,1.252838,103.6808,50.47,3.27,1.68,143.43
DSC00895.JPG,1.252839,103.6808,54.79,2.82,1.89,142.43
DSC00896.JPG,1.252838,103.6808,56.67,-1.06,3.96,144.77
DSC00897.JPG,1.252839,103.6808,55.84,-0.4,-1.42,141.75
DSC00898.JPG,1.25284,103.6808,53.84,-0.77,-1.02,144.4
DSC00899.JPG,1.252832,103.6808,49.19,1.09,4.98,144.81
DSC00900.JPG,1.252822,103.6808,47.02,-1.97,-0.37,144.42
DSC00901.JPG,1.252815,103.6808,45.64,2.76,0.82,150.32
DSC00902.JPG,1.252808,103.6808,44.76,0.87,4.16,146.13
DSC00903.JPG,1.252804,103.6808,43.12,0.71,0.42,146.75
DSC00904.JPG,1.252802,103.6808,42.17,6.52,0.1,146.61
DSC00905.JPG,1.252797,103.6809,41.15,9.13,7.95,146.6
DSC00906.JPG,1.25279,103.6809,40.27,0.95,6.95,145.19
DSC00907.JPG,1.252791,103.6808,38.06,-0.94,2.59,144.18
DSC00908.JPG,1.252794,103.6808,36.66,-1.02,-2.72,143.59
DSC00909.JPG,1.252795,103.6808,35.32,3.62,-0.18,145.74
DSC00910.JPG,1.252795,103.6808,34.2,3.3,4.25,146.69
DSC00911.JPG,1.252797,103.6808,31.74,4.45,7.18,145.84
DSC00912.JPG,1.2528,103.6808,30.56,-0.79,-2.97,143.64
DSC00913.JPG,1.252803,103.6808,29.27,0.28,3.18,146.55
DSC00914.JPG,1.252812,103.6808,27.08,1.84,0.33,147.13
DSC00915.JPG,1.252813,103.6808,25.98,2.77,3.84,149.15
DSC00916.JPG,1.252817,103.6808,24.77,0.87,2.74,146.59
DSC00917.JPG,1.252827,103.6808,22.29,0.29,1.32,146.9
DSC00918.JPG,1.252832,103.6808,21.33,3.54,1.52,147.31
